SECOND AVE OPP MUNICIPAL COURTS DR, downtown
POCUSSETT ST AT WIGHTMAN ST, squill
EAST LIBERTY BLVD AT NEGLEY RUN BLVD, east_liberty
ROBINSON ST AT ELLERS ST, oakland
WILKINS AVE OPP BELLEROCK ST, squill
HIGHLAND AVE OPP BAUM BLVD, east_liberty
BIGELOW BLVD OPP BLOOMFIELD BRIDGE, oakland
FIFTH AVE OPP #2410 (ACTA PROGRAM), oakland
FIFTH AVE AT HALKET ST, oakland
SECOND AVE AT BATES ST FS, oakland
ALLEQUIPPA ST AT WHITRIDGE ST, oakland
FIFTH AVE AT BELLEFIELD AVE, oakland
EAST BUSWAY AT NEGLEY STATION D, shadyside
PANTHER HOLLOW RD AT PANTHER HOLLOW BRIDGE FS, oakland
BEELER ST AT FORBES AVE, squill
FIFTH AVE AT WOOD ST, downtown
HIGHLAND AVE AT JACKSON ST, east_liberty
BLVD OF ALLIES AT SMITHFIELD ST, downtown
REED ST AT ADDISON ST, oakland
BAUM BLVD AT BEATTY ST, east_liberty
LIBERTY AVE AT 32ND ST, strip
FIFTH AVE AT #2410 (ACTA PROGRAM), oakland
AIKEN AVE AT ROSETTA ST, east_liberty
ELLSWORTH AVE AT SUMMERLEA ST, shadyside
EAST BUSWAY AT GARAGE EMPLOYEES ONLY STOP, east_liberty
BRYANT ST AT EUCLID AVE, east_liberty
FIFTH AVE AT BIGELOW BLVD (PITT), oakland
MURRAY AVE AT AYLESBORO AVE, squill
PENN AVE AT 9TH ST, downtown
32ND ST AT SPRING WAY, strip
CRAIG ST AT FORBES AVE, oakland
LIBERTY AVE AT 12TH ST, strip
BAUM BLVD AT LIBERTY AVE, shadyside
ADELAIDE ST AT MILWAUKEE ST, oakland
STANWIX ST AT PENN AVE (GATEWAY #2), downtown
CENTRE AVE AT ELMORE ST, oakland
OAK HILL DR AT BENTLEY DR, oakland
REED ST AT ADDISON ST, oakland
LIBERTY AVE AT 39TH ST, oakland
WILKINS AVE AT #6647, squill 
PENN AVE OPP BAKERY SQUARE, east_liberty
