FRIENDSHIP AVE AT MILLVALE AVE,40.453469, -79.955240, oakland
HIGHLAND AVE AT ALDER ST,40.462219, -79.930116, east_liberty
WILKINS AVE OPP WORTH ST,40.437493, -79.921552, squill 
WILKINS AVE OPP WORTH ST,40.437493, -79.921552, squill 
CENTRE AVE AT DINWIDDIE ST,40.447895, -79.988696, strip 
CENTRE AVE AT WATT ST,40.436666, -79.975584, oakland
HIGHLAND AVE AT ELWOOD ST,40.458096, -79.921822, east_liberty
CENTRE AVE OPP LEMIEUX PL,40.444420, -79.995385, strip
LIBERTY AVE OPP PACIFIC AVE,40.447303, -79.948996, shadyside
BLVD OF ALLIES AT MARKET ST,40.437330, -80.007558, downtown
NEGLEY AVE AT HAYS ST,40.468905, -79.932637, east_liberty
HIGHLAND AVE AT ELWOOD ST,40.458096, -79.921822, east_liberty
BENTLEY DR AT #2160,40.436666, -79.975584, oakland
STANWIX ST AT PENN AVE (GATEWAY #2),40.437330, -80.007558, downtown
NEVILLE ST AT ELLSWORTH AVE NS,40.437915, -79.954317, oakland
LIBERTY AVE OPP 21ST ST FS,40.447895, -79.988696, strip 
LIBERTY AVE AT PEARL ST,40.453469, -79.955240, oakland
HIGHLAND AVE AT BROAD ST,40.466521, -79.927854, east_liberty
PENN AVE AT ST CLAIR ST,40.466521, -79.927854, east_liberty
CENTRE AVE AT WASHINGTON PL FS,40.444420, -79.995385, strip
FIFTH AVE AT MAURICE ST,40.436486, -79.971893, oakland
BEACON ST OPP WENDOVER ST,40.429166, -79.935796, squill
LIBERTY AVE AT PEARL ST,40.453469, -79.955240, oakland
TILBURY AVE AT FORWARD AVE,40.428579, -79.922383, squill
FRIENDSHIP AVE AT MILLVALE AVE,40.453469, -79.955240, oakland
CLARISSA ST AT LYON ST,40.453469, -79.955240, oakland
FIFTH AVE AT DESOTO ST,40.436544, -79.966343, oakland
PENN AVE OPP EAST LIBERTY BLVD FS,40.452822, -79.925993, shadyside
FIFTH AVE OPP HIGHLAND AVE,40.452822, -79.925993, shadyside
WILKINS AVE AT BEECHWOOD BLVD,40.437493, -79.921552, squill 
16TH ST AT PENN AVE,40.444420, -79.995385, strip
CHESTNUT ST AT PROGRESS ST FS,40.444420, -79.995385, strip
FORBES AVE BTW DENNISTON ST & SHADY AVE,40.437493, -79.921552, squill 
BEDFORD AVE AT CHAUNCEY DR,40.452255, -79.981337, strip
BEACON ST AT MURDOCH ST FS,40.429166, -79.935796, squill
LIBERTY AVE AT 29TH ST,40.452255, -79.981337, strip
FIFTH AVE AT HIGHLAND AVE,40.452822, -79.925993, shadyside
PENN AVE AT SHERIDAN AVE,40.452822, -79.925993, shadyside
CENTRE AVE AT KIRKPATRICK ST,40.436666, -79.975584, oakland
BAUM BLVD AT MILLVALE AVE,40.453469, -79.955240, oakland
FIFTH AVE AT PENN AVE FS,40.458096, -79.921822, east_liberty
NEGLEY AVE AT CLAYBOURNE ST,40.449981, -79.937537, shadyside
FRIENDSHIP AVE AT FAIRMOUNT ST FS,40.458365, -79.932166, east_liberty
SECOND AVE OPP TECHNOLOGY DR,40.436486, -79.971893, oakland
CRAWFORD ST AT CENTRE AVE,40.444420, -79.995385, strip
LARMIER AVE AT WINSLOW ST,40.465392, -79.921893, east_liberty
EAST BUSWAY AT PENN STATION C,40.444420, -79.995385, strip
BLVD OF ALLIES AT GIST ST,40.436666, -79.975584, oakland
LIBERTY AVE OPP 31ST ST,40.457857, -79.977473, strip
SECOND AVE AT HOT METAL ST,40.436544, -79.966343, oakland
PENN AVE AT 8TH ST,40.437330, -80.007558, downtown
WILKINS AVE AT BEECHWOOD BLVD,40.437493, -79.921552, squill 
CENTRE AVE AT CIVIC ARENA EAST LOT,40.444420, -79.995385, strip
FRIENDSHIP AVE AT EDMOND ST,40.453469, -79.955240, oakland
EAST LIBERTY BLVD AT BROAD ST,40.452822, -79.925993, shadyside
WILKINS AVE AT FAIR OAKS ST,40.441347, -79.934984, squill
WOOD ST AT SIXTH AVE FS,40.437330, -80.007558, downtown
SMITHFIELD ST AT FORBES AVE,40.437330, -80.007558, downtown
ALLEQUIPPA ST AT SR. RESIDENCE (#2418),40.436666, -79.975584, oakland
BRERETON ST AT POLISH FALCONS,40.457857, -79.977473, strip
BEECHWOOD BLVD AT NICHOLSON ST,40.428579, -79.922383, squill
CENTRE AVE AT FRANCIS ST,40.439911, -79.967237, oakland
NEGLEY AVE OPP RIPPEY ST FS,40.468905, -79.932637, east_liberty
TERRACE ST OPP CHESTERFIELD RD,40.436486, -79.971893, oakland
7TH ST AT FT DUQUESNE BLVD,40.437330, -80.007558, downtown
HIGHLAND AVE OPP RIPPEY ST FS,40.468905, -79.932637, east_liberty
MULHATTON ST AT BEACON ST FS,40.428579, -79.922383, squill
STANTON AVE AT HETH'S AVE,40.468905, -79.932637, east_liberty
NEVILLE ST AT ELLSWORTH AVE NS,40.437915, -79.954317, oakland
CENTRE AVE AT MELWOOD AVE,40.453469, -79.955240, oakland
ROBINSON ST AT ALLEQUIPPA ST,40.436666, -79.975584, oakland
FIFTH AVE AT MOULTRIE ST FS,40.436666, -79.975584, oakland
FIFTH AVE AT AIKEN AVE,40.449981, -79.937537, shadyside
MILLVALE AVE AT CENTRE AVE FS,40.453469, -79.955240, oakland
STANTON AVE AT EUCLID AVE,40.468905, -79.932637, east_liberty
CENTRE AVE AT BIGELOW BLVD,40.453469, -79.955240, oakland
BLVD OF ALLIES AT CRAFT AVE,40.436544, -79.966343, oakland
WILKINS AVE AT BARNSDALE ST,40.437493, -79.921552, squill 
REED ST AT ELMORE ST,40.436666, -79.975584, oakland
BRERETON ST AT POLISH FALCONS,40.457857, -79.977473, strip
FORBES AVE AT HAMBURG HALL,40.437915, -79.954317, oakland
FIFTH AVE AT BRENHAM ST FS,40.436666, -79.975584, oakland
FIFTH AVE AT MARYLAND AVE,40.441347, -79.934984, squill
WILKINS AVE AT FAIR OAKS ST,40.441347, -79.934984, squill
BLVD OF ALLIES AT DAWSON ST,40.439379, -79.962131, oakland
MURRAY AVE AT WILKINS AVE,40.436644, -79.932452, squill
ARLINGTON AVE AT E CARSON ST,40.434499, -80.002550, downtown
